Company;Email;City;Country;Sector
Ems-Chemie Holding;info@emschemieholding.com;Domat/Ems;Switzerland;Pharma
Flughafen Zürich;info@flughafenzürich.com;Zürich;Switzerland;Industrial
Galenica;info@galenica.com;Bern;Switzerland;Pharma
Garmin;info@garmin.com;Schaffhausen;Switzerland;Engineering
Gurit Holding;info@guritholding.com;Zug;Switzerland;Manufacturing
Helvetia;info@helvetia.com;St. Gallen;Switzerland;Industrial
Idorsia;info@idorsia.com;Allschwil;Switzerland;Pharma
Inficon;info@inficon.com;Bad Ragaz;Switzerland;Engineering
Jungfraubahn;info@jungfraubahn.com;Interlaken;Switzerland;Industrial
Medacta;info@medacta.com;Castel San Pietro;Switzerland;Pharma
Metall Zug;info@metallzug.com;Zug;Switzerland;Manufacturing
Mikron Holding;info@mikronholding.com;Boudry;Switzerland;Manufacturing
Mövenpick;info@movenpick.com;Zürich;Switzerland;Industrial
Orascom;info@ascom.com;Zürich;Switzerland;Industrial
Partners Group;info@partnersgroup.com;Zug;Switzerland;Industrial
Phoenix Mecano;info@phoenixmecano.com;Stein am Rhein;Switzerland;Manufacturing
Pilatus;info@pilatus-aircraft.com;Stans;Switzerland;Manufacturing
Recordati;info@recordati.com;Zug;Switzerland;Pharma
Romande Energie;info@romandeenergie.com;Lausanne;Switzerland;Industrial
SIG Combibloc;info@sig.biz;Neuhausen;Switzerland;Manufacturing
SIX Group;info@sixgroup.com;Zürich;Switzerland;Industrial
Spar;;Lucerne;Switzerland;Manufacturing
Straumann;info@straumann.com;Basel;Switzerland;Pharma
Tecan Group;info@tecan.com;Männedorf;Switzerland;Pharma
Zehnder;info@zehnder.com;Gränichen;Switzerland;Manufacturing
Adecco Switzerland;info@adecco.com;Opfikon;Switzerland;Industrial
Adval Tech;info@advaltech.com;Niederwangen;Switzerland;Manufacturing
Arbonia;info@arbonia.com;Arbon;Switzerland;Manufacturing
Arbonia Holding;info@arboniaholding.com;Arbon;Switzerland;Manufacturing
Basler Kantonalbank;info@baslerkantonalbank.com;Basel;Switzerland;Industrial
Berner Kantonalbank;info@bernerkantonalbank.com;Bern;Switzerland;Industrial
BKW;;Bern;Switzerland;Industrial
Bossard;info@bossard.com;Zug;Switzerland;Manufacturing
Bucher Industries;info@bucherindustries.com;Niederweningen;Switzerland;Industrial
Calida;info@calida.com;Sursee;Switzerland;Manufacturing
Cembra;info@cembra.com;Zürich;Switzerland;Industrial
Chocoladefabriken Lindt;info@lindt.com;Kilchberg;Switzerland;Manufacturing
Coltene;info@coltene.com;Altstätten;Switzerland;Pharma
Dottikon;info@dottikon.com;Dottikon;Switzerland;Pharma
Evolva;info@evolva.com;Reinach;Switzerland;Pharma
Feintool;info@feintool.com;Lyss;Switzerland;Manufacturing
Fischer;info@georgfischer.com;Fisch;Switzerland;Manufacturing
Flughafen Zürich AG;info@flughafenzürichag.com;Zürich;Switzerland;Industrial
Forbo;info@forbo.com;Baar;Switzerland;Manufacturing
Gebrüder Meier;info@gebrüdermeier.com;Zürich;Switzerland;Manufacturing
Huber + Suhner;info@hubersuhner.com;Pfäffikon;Switzerland;Engineering
Interroll;info@interroll.com;Sant'Antonino;Switzerland;Manufacturing
Kardex;info@kardex.com;Zürich;Switzerland;Manufacturing
Kern;;Wohlen;Switzerland;Manufacturing
Kudelski;info@nagra.com;Cheseaux;Switzerland;Engineering
Leclanché;info@leclanché.com;Yverdon;Switzerland;Engineering
Papierfabrik Cham;info@papierfabrikcham.com;Cham;Switzerland;Manufacturing
Rheinmetall;info@rheinmetall.com;Zürich;Switzerland;Manufacturing
Schmolz + Bickenbach;info@schmolzbickenbach.com;Emmenbrücke;Switzerland;Manufacturing
Valora;info@valora.com;Muttenz;Switzerland;Manufacturing
Vaudoise Assurances;info@vaudoiseassurances.com;Lausanne;Switzerland;Industrial
Equinor;info@equinor.com;Stavanger;Norway;Industrial
Telenor;info@telenor.com;Fornebu;Norway;Engineering
Aker ASA;info@akerasa.com;Oslo;Norway;Industrial
Orkla;info@orkla.com;Oslo;Norway;Manufacturing
Aker Solutions;info@akersolutions.com;Oslo;Norway;Industrial
NorgesGruppen;info@norgesgruppen.no;Oslo;Norway;Manufacturing
Storebrand;info@storebrand.no;Lysaker;Norway;Industrial
Norske Skog;info@norskeskog.com;Oslo;Norway;Manufacturing
DNB;info@dnb.no;Oslo;Norway;Industrial
Posten Norge;info@posten.no;Oslo;Norway;Industrial
Coop Norge;info@coop.no;Oslo;Norway;Manufacturing
Reitangruppen;info@reitangruppen.no;Oslo;Norway;Manufacturing
Veidekke;info@veidekke.no;Oslo;Norway;Engineering
Statkraft;info@statkraft.com;Oslo;Norway;Industrial
Nortura;info@nortura.no;Oslo;Norway;Manufacturing
Gjensidige;info@gjensidige.no;Oslo;Norway;Industrial
Schibsted;info@schibsted.com;Oslo;Norway;Engineering
Møllergruppen;info@mollergruppen.no;Oslo;Norway;Manufacturing
Hafslund;info@hafslund.no;Oslo;Norway;Industrial
Skanska Norge;info@skanska.no;Oslo;Norway;Engineering
Varner-Gruppen;info@varner.eu;Oslo;Norway;Manufacturing
Cermaq;info@cermaq.com;Oslo;Norway;Manufacturing
Odfjell;info@odfjell.com;Bergen;Norway;Industrial
Statnett;info@statnett.no;Oslo;Norway;Industrial
Kongsberg Gruppen;info@kongsberg.com;Kongsberg;Norway;Industrial
Moelven Industrier;info@moelven.no;Oslo;Norway;Manufacturing
Bama Gruppen;info@bama.no;Oslo;Norway;Manufacturing
Wilh. Wilhelmsen;info@wilhelmsen.com;Lysaker;Norway;Industrial
Tinfos;info@tinfos.no;Notodden;Norway;Industrial
Avinor;info@avinor.no;Oslo;Norway;Industrial
NMD Grossisthandel;info@nmd.no;Oslo;Norway;Pharma
Felleskjøpet;info@felleskjopet.no;Oslo;Norway;Manufacturing
Marine Harvest;info@mowi.com;Bergen;Norway;Manufacturing
Lerøy Seafood Group;info@leroy.no;Bergen;Norway;Manufacturing
AF Gruppen;info@afgruppen.no;Oslo;Norway;Engineering
Tomra Systems;info@tomra.com;Asker;Norway;Manufacturing
Borregaard;info@borregaard.com;Sarpsborg;Norway;Manufacturing
Ringnes;info@ringnes.no;Oslo;Norway;Manufacturing
Tandberg;info@tandberg.com;Lysaker;Norway;Engineering
Laerdal Medical;info@laerdal.com;Stavanger;Norway;Pharma
Nammo;info@nammo.com;Raufoss;Norway;Manufacturing
SINTEF;info@sintef.no;Trondheim;Norway;Engineering
Eltek;info@eltek.com;Drammen;Norway;Engineering
Visma;info@visma.com;Oslo;Norway;Engineering
Multiconsult;info@multiconsult.com;Oslo;Norway;Engineering
Framo;info@framo.no;Bergen;Norway;Manufacturing
Kverneland Group;info@kvernelandgroup.com;Kvernaland;Norway;Manufacturing
Ekornes;info@ekornes.com;Sykkylven;Norway;Manufacturing
Kitron;info@kitron.com;Billingstad;Norway;Engineering
Petroleum Geo-Services;info@petroleumgeoservices.com;Oslo;Norway;Industrial
DOF;;Bergen;Norway;Industrial
Subsea 7;info@subsea7.com;Stavanger;Norway;Industrial
Solstad Offshore;info@solstadoffshore.com;Skudeneshavn;Norway;Industrial
Odfjell Drilling;info@odfjell.com;Bergen;Norway;Industrial
TGS-NOPEC;info@tgsnopec.com;Oslo;Norway;Industrial
Prosafe;info@prosafe.com;Stavanger;Norway;Industrial
Eidesvik Offshore;info@eidesvikoffshore.com;Bømlo;Norway;Industrial
Farstad Shipping;info@farstadshipping.com;Ålesund;Norway;Industrial
Deep Ocean;info@deepocean.com;Bergen;Norway;Industrial
GC Rieber;info@gcrieber.com;Bergen;Norway;Industrial
Wilson;info@wilson.com;Bergen;Norway;Industrial
Scana Industrier;info@scanaindustrier.com;Follafoss;Norway;Manufacturing
Glamox;info@glamox.com;Oslo;Norway;Manufacturing
Norsk Tipping;info@norsk-tipping.no;Oslo;Norway;Industrial
TV 2 Gruppen;info@tv2gruppen.com;Bergen;Norway;Engineering
Widerøe;info@widerøe.com;Bodø;Norway;Industrial
Hurtigruten;info@hurtigruten.com;Tromsø;Norway;Industrial
Color Group;info@color.no;Oslo;Norway;Industrial
Renewable Energy Corporation;info@recgroup.com;Sandvika;Norway;Industrial
Agder Energi;info@agderenergi.no;Kristiansand;Norway;Industrial
E-CO Energi;info@ecoenergi.com;Oslo;Norway;Industrial
Skagerak Energi;info@skagerakenergi.com;Porsgrunn;Norway;Industrial
Lyse Kraft;info@lysekraft.com;Stavanger;Norway;Industrial
Troms Kraft;info@tromskraft.com;Tromsø;Norway;Industrial
Fjordkraft;info@fjordkraft.com;Oslo;Norway;Industrial
TrønderEnergi;info@trønderenergi.com;Trondheim;Norway;Industrial
HelgelandsKraft;info@helgelandskraft.com;Mosjøen;Norway;Industrial
Akershus Energi;info@akerasa.com;Bjørkelangen;Norway;Industrial
Eidsiva Energi;info@eidsivaenergi.com;Hamar;Norway;Industrial
Bergenshalvøens Kraftselskap;info@bergenshalvøenskraftselsk.com;Bergen;Norway;Industrial
Fredrikstad Energi;info@fredrikstadenergi.com;Fredrikstad;Norway;Industrial
Trondheim Energi;info@trondheimenergi.com;Trondheim;Norway;Industrial
Energiselskapet Buskerud;info@energiselskapetbuskerud.com;Drammen;Norway;Industrial
Nord-Trøndelag Elektrisitetsverk;info@nordtrøndelagelektrisitet.com;Steinkjer;Norway;Industrial
Boliden Odda;info@bolidenodda.com;Odda;Norway;Manufacturing
Eramet Norway;info@erametnorway.com;Porsgrunn;Norway;Manufacturing
Norsk Stål;info@norskstål.com;Oslo;Norway;Manufacturing
Protan;info@protan.com;Oslo;Norway;Manufacturing
Glava;info@glava.com;Vennesla;Norway;Manufacturing
Hustadmarmor;info@hustadmarmor.com;Elnesvågen;Norway;Manufacturing
Nordic Paper;info@nordicpaper.com;Halden;Norway;Manufacturing
Denofa;info@denofa.com;Fredrikstad;Norway;Manufacturing
Synnøve Finden;info@synnøvefinden.com;Oslo;Norway;Manufacturing
Hansa Borg Bryggerier;info@hansaborgbryggerier.com;Bergen;Norway;Manufacturing
Arcus-Gruppen;info@arcusgruppen.com;Oslo;Norway;Manufacturing
Kavli;info@kavli.com;Bergen;Norway;Manufacturing
Rieber & Søn;info@rieberandsøn.com;Bergen;Norway;Manufacturing
Skretting;info@skretting.com;Stavanger;Norway;Manufacturing
BioMar;info@biomar.com;Bergen;Norway;Manufacturing
Felleskjøpet Agri;info@felleskjopet.no;Oslo;Norway;Manufacturing
A-Pressen;info@apressen.com;Oslo;Norway;Engineering
Gyldendal;info@gyldendal.com;Oslo;Norway;Engineering
Bergens Tidende;info@bergenstidende.com;Bergen;Norway;Engineering
Adresseavisen;info@adresseavisen.com;Trondheim;Norway;Engineering
ABG Sundal Collier;info@abgsundalcollier.com;Oslo;Norway;Engineering
Pareto;info@pareto.com;Oslo;Norway;Engineering
Carnegie;info@carnegie.com;Oslo;Norway;Engineering
First Securities;info@firstsecurities.com;Oslo;Norway;Engineering
Fast Search & Transfer;info@fastsearchandtransfer.com;Oslo;Norway;Engineering
Chess Communication;info@chesscommunication.com;Oslo;Norway;Engineering
Get;;Oslo;Norway;Engineering
TDC Song;info@tdcsong.com;Oslo;Norway;Engineering
NetCom;info@netcom.com;Oslo;Norway;Engineering
Tele2 Norge;info@tele2norge.com;Oslo;Norway;Engineering
Accenture;info@accenture.com;Oslo;Norway;Engineering
Capgemini Norge;info@capgemininorge.com;Oslo;Norway;Engineering
IBM Norway;info@ibmnorway.com;Oslo;Norway;Engineering
Hewlett Packard Norge;info@hewlettpackardnorge.com;Oslo;Norway;Engineering
Fujitsu Siemens Norway;info@siemens.com;Oslo;Norway;Engineering
Tieto;info@tieto.com;Oslo;Norway;Engineering
ErgoGroup;info@ergogroup.com;Oslo;Norway;Engineering
EDB Business Partner;info@edbbusinesspartner.com;Oslo;Norway;Engineering
Komplett;info@komplett.com;Oslo;Norway;Engineering
Arrow Electronics Norway;info@arrowelectronicsnorway.com;Oslo;Norway;Engineering
Schneider Electric Norge;info@schneiderelectricnorge.com;Oslo;Norway;Engineering
Siemens Norway;info@siemens.com;Oslo;Norway;Engineering
Adecco Norge;info@adecconorge.com;Oslo;Norway;Industrial
ISS Facility Services;info@issworld.com;Oslo;Norway;Industrial
Kuehne + Nagel Norway;info@kuehnenagelnorway.com;Oslo;Norway;Industrial
Schenker Norway;info@schenkernorway.com;Oslo;Norway;Industrial
DSV Road;info@dsvroad.com;Oslo;Norway;Industrial
Thon Holding;info@thonholding.com;Oslo;Norway;Industrial
Olav Thon Eiendomsselskap;info@olavthoneiendomsselskap.com;Oslo;Norway;Industrial
Entra Eiendom;info@entraeiendom.com;Oslo;Norway;Industrial
Selvaag Gruppen;info@selvaaggruppen.com;Oslo;Norway;Engineering
Kruse Smith;info@krusesmith.com;Oslo;Norway;Engineering
Reinertsen;info@reinertsen.com;Trondheim;Norway;Engineering
Byggma;info@byggma.com;Oslo;Norway;Engineering
Block Watne;info@blockwatne.com;Oslo;Norway;Engineering
Peab;;Oslo;Norway;Engineering
NCC Construction;info@ncc.no;Oslo;Norway;Engineering
YIT Building Systems;info@yitbuildingsystems.com;Oslo;Norway;Engineering
Bautas;info@bautas.com;Oslo;Norway;Engineering
Aspelin-Ramm;info@aspelinramm.com;Oslo;Norway;Engineering
Terra Gruppen;info@terragruppen.com;Oslo;Norway;Engineering
Ability Group;info@abilitygroup.com;Oslo;Norway;Engineering
D&F Group;info@dandfgroup.com;Oslo;Norway;Manufacturing
Brødrene Dahl;info@brødrenedahl.com;Oslo;Norway;Manufacturing
Validus;info@validus.com;Oslo;Norway;Manufacturing
Johs Rasmussen;info@johsrasmussen.com;Oslo;Norway;Manufacturing
Gunnar Karlsen;info@gunnarkarlsen.com;Oslo;Norway;Manufacturing
IKM Gruppen;info@ikmgruppen.com;Bergen;Norway;Engineering
Kaefer IKM;info@kaeferikm.com;Stavanger;Norway;Engineering
Technip Norge;info@technipnorge.com;Stavanger;Norway;Industrial
Baker Hughes Norge;info@akerasa.com;Sandvika;Norway;Industrial
Halliburton Norway;info@halliburtonnorway.com;Stavanger;Norway;Industrial
National Oilwell Norway;info@nationaloilwellnorway.com;Kristiansand;Norway;Industrial
Acergy Norway;info@acergynorway.com;Stavanger;Norway;Industrial
Fugro-Geoteam;info@fugrogeoteam.com;Oslo;Norway;Industrial
Oceaneering Norway;info@oceaneeringnorway.com;Stavanger;Norway;Industrial
Roxar;info@roxar.com;Stavanger;Norway;Engineering
Frank Mohn;info@frankmohn.no;Bergen;Norway;Manufacturing
Framo Engineering;info@framo.no;Bergen;Norway;Manufacturing
Rolls-Royce Marine Norway;info@rollsroycemarinenorway.com;Ulsteinvik;Norway;Industrial
TTS Marine;info@ttsmarine.com;Bergen;Norway;Industrial
Umoe;;Oslo;Norway;Industrial
Kleven Maritime;info@klevenmaritime.com;Ulsteinvik;Norway;Industrial
Camillo Eitzen;info@camilloeitzen.com;Oslo;Norway;Industrial
Star Shipping;info@starshipping.com;Bergen;Norway;Industrial
Torvald Klaveness;info@torvaldklaveness.com;Oslo;Norway;Industrial
O. N. Sunde;info@onsunde.com;Ålesund;Norway;Industrial
I. M. Skaugen;info@imskaugen.com;Oslo;Norway;Industrial
Leif Høegh;info@leifhøegh.com;Oslo;Norway;Industrial
J. J. Ugland;info@jjugland.com;Kristiansand;Norway;Industrial
Color Line;info@colorline.com;Oslo;Norway;Industrial
Fjord1;info@fjord1.com;Florø;Norway;Industrial
Torghatten;info@torghatten.com;Brønnøysund;Norway;Industrial
Vy;;Oslo;Norway;Industrial
Stor-Oslo Lokaltrafikk;info@storoslolokaltrafikk.com;Oslo;Norway;Industrial
Fosen Trafikklag;info@fosentrafikklag.com;Orkanger;Norway;Industrial
Tide;;Bergen;Norway;Industrial
Boreal;info@boreal.com;Tromsø;Norway;Industrial
Norges Røde Kors;info@norgesrødekors.com;Oslo;Norway;Pharma
Ullevål Universitetssykehus;info@ullevåluniversitetssykehu.com;Oslo;Norway;Pharma
Rikshospitalet;info@rikshospitalet.com;Oslo;Norway;Pharma
Diakonhjemmet Sykehus;info@diakonhjemmetsykehus.com;Oslo;Norway;Pharma
Lovisenberg Diakonale Sykehus;info@lovisenbergdiakonalesykeh.com;Oslo;Norway;Pharma
Aker Universitetssykehus;info@akerasa.com;Oslo;Norway;Pharma
Vitusapotek;info@vitusapotek.com;Oslo;Norway;Pharma
Alliance Unichem Norge;info@allianceunichemnorge.com;Oslo;Norway;Pharma
Nycomed Pharma;info@nycomedpharma.com;Oslo;Norway;Pharma
Pfizer Norway;info@pfizernorway.com;Oslo;Norway;Pharma
Bertel O Steen;info@bertelosteen.com;Oslo;Norway;Manufacturing
Elkjøp;info@elkjøp.com;Oslo;Norway;Manufacturing
Mesta;info@mesta.com;Oslo;Norway;Engineering
Kraft Foods Norway;info@kraftfoodsnorway.com;Oslo;Norway;Manufacturing
Apokjeden;info@apokjeden.com;Oslo;Norway;Manufacturing
YX Energi;info@yxenergi.com;Oslo;Norway;Industrial
SAS Braathens;info@sasbraathens.com;Oslo;Norway;Industrial
SpareBank 1 Gruppen;info@sparebank1gruppen.com;Oslo;Norway;Industrial
Aktieselskapet Vinmonopolet;info@vinmonopolet.no;Oslo;Norway;Manufacturing
Ementor;info@ementor.com;Oslo;Norway;Engineering
Nordea Bank Norge;info@nordeabanknorge.com;Oslo;Norway;Industrial
Rolls-Royce Marine;info@rollsroycemarine.com;Ulsteinvik;Norway;Industrial
YX Energi Norge;info@yxenerginorge.com;Oslo;Norway;Industrial
GE Healthcare Norway;info@gehealthcare.com;Oslo;Norway;Pharma
Kistefos;info@kistefos.no;Oslo;Norway;Industrial
Optimera;info@optimera.no;Oslo;Norway;Manufacturing
IKEA Norge;info@ikea.com;Oslo;Norway;Manufacturing
Byggmakker Norge;info@byggmakkernorge.com;Oslo;Norway;Engineering
Fred Olsen Energy;info@fredolsenenergy.com;Oslo;Norway;Industrial
Elkjøp Norge;info@elkjøpnorge.com;Oslo;Norway;Manufacturing
Norsk Rikskringkasting;info@norskrikskringkasting.com;Oslo;Norway;Engineering
Toyota Norge;info@toyotanorge.com;Oslo;Norway;Manufacturing
Polimoon Group;info@polimoongroup.com;Oslo;Norway;Manufacturing
H&M Norge;info@handmnorge.com;Oslo;Norway;Manufacturing
Talisman Energy Norge;info@talismanenergynorge.com;Oslo;Norway;Industrial
Norwegian Air Shuttle;info@norwegianairshuttle.com;Oslo;Norway;Industrial
Stiftelsen Norsk Rikstoto;info@stiftelsennorskrikstoto.com;Oslo;Norway;Industrial
Norsk Scania;info@norskscania.com;Oslo;Norway;Manufacturing
Canica;info@canica.com;Oslo;Norway;Pharma
Veolia Miljø;info@veoliamiljø.com;Oslo;Norway;Industrial
Statsbygg;info@statsbygg.com;Oslo;Norway;Engineering
DONG E&P Norge;info@dongeandpnorge.com;Oslo;Norway;Industrial
Grieg Maturitas;info@griegmaturitas.com;Bergen;Norway;Manufacturing
Ruukki Norge;info@ruukkinorge.com;Oslo;Norway;Manufacturing
Fjord1 Nordvestlandske;info@fjord1nordvestlandske.com;Florø;Norway;Industrial
Sparebank 1 SR-Bank;info@sparebank1srbank.com;Stavanger;Norway;Industrial
Tandberg Television;info@tandberg.com;Lysaker;Norway;Engineering
Sparebanken Nord Norge;info@sparebankennordnorge.com;Tromsø;Norway;Industrial
Coca-Cola Drikker;info@cocacoladrikker.com;Oslo;Norway;Manufacturing
MyTravel Norway;info@mytravelnorway.com;Oslo;Norway;Industrial
Aker Seafoods;info@akerasa.com;Bergen;Norway;Manufacturing
Elektroskandia;info@elektroskandia.com;Oslo;Norway;Manufacturing
Steen & Strøm;info@steenandstrøm.com;Oslo;Norway;Manufacturing
Europris Holding;info@europrisholding.com;Oslo;Norway;Manufacturing
M-I Swaco Norge;info@miswaconorge.com;Stavanger;Norway;Industrial
Subsea 7 Norway;info@subsea7norway.com;Stavanger;Norway;Industrial
Domstein;info@domstein.com;Bergen;Norway;Manufacturing
DOF Subsea;info@dofsubsea.com;Bergen;Norway;Industrial
Eniro Holding;info@eniroholding.com;Oslo;Norway;Engineering
Acta Holding;info@actaholding.com;Oslo;Norway;Industrial
Torghatten Trafikkselskap;info@torghattentrafikkselskap.com;Brønnøysund;Norway;Industrial
Onninen;info@onninen.com;Oslo;Norway;Manufacturing
Rica Hotels;info@ricahotels.com;Oslo;Norway;Industrial
Heidenreich Holding;info@heidenreichholding.com;Oslo;Norway;Industrial
Ulsmo;info@ulsmo.com;Oslo;Norway;Manufacturing
Relacom;info@relacom.com;Oslo;Norway;Engineering
Dangaard Telecom Norway;info@dangaardtelecomnorway.com;Oslo;Norway;Engineering
Automobil AS;info@automobilas.com;Oslo;Norway;Manufacturing
APL ASA;info@aplasa.com;Oslo;Norway;Industrial
General Motors Norge;info@generalmotorsnorge.com;Oslo;Norway;Manufacturing
Sparebanken Norge;info@sparebankennorge.com;Oslo;Norway;Industrial
RWE Dea Norge;info@rwedeanorge.com;Oslo;Norway;Industrial
Hjemmet Mortensen;info@hjemmetmortensen.com;Oslo;Norway;Engineering
Motor Gruppen;info@motorgruppen.com;Oslo;Norway;Manufacturing
A Wilhelmsen;info@wilhelmsen.com;Oslo;Norway;Industrial
Felleskjøpet Rogaland Agder;info@felleskjopet.no;Stavanger;Norway;Manufacturing
Brødr. Sunde;info@brødrsunde.com;Bergen;Norway;Industrial
Volvo Maskin;info@volvomaskin.com;Oslo;Norway;Manufacturing
Jackon;info@jackon.com;Oslo;Norway;Manufacturing
Menigo Foodservice Norge;info@menigofoodservicenorge.com;Oslo;Norway;Manufacturing
Sparebanken Midt-Norge;info@sparebankenmidtnorge.com;Trondheim;Norway;Industrial
Skeidar Holding;info@skeidarholding.com;Oslo;Norway;Manufacturing
Jakob Hatteland Holding;info@jakobhattelandholding.com;Stavanger;Norway;Engineering
Coop Nord;info@coopnord.com;Tromsø;Norway;Manufacturing
Bonheur;info@bonheur.com;Oslo;Norway;Industrial
Nordic Intertrade;info@nordicintertrade.com;Oslo;Norway;Manufacturing
Lani Invest;info@laniinvest.com;Oslo;Norway;Industrial
Esso Energi;info@essoenergi.com;Oslo;Norway;Industrial
Scancem International;info@scanceminternational.com;Oslo;Norway;Manufacturing
Bankenes Betalingssentral;info@bankenesbetalingssentral.com;Oslo;Norway;Engineering
Johan G Olsen;info@johangolsen.com;Bergen;Norway;Industrial
Grenland Group;info@grenlandgroup.com;Porsgrunn;Norway;Manufacturing
Forbrukersamvirket Sør;info@forbrukersamvirketsør.com;Kristiansand;Norway;Manufacturing
KB Gruppen Kongsvinger;info@kbgruppenkongsvinger.com;Kongsvinger;Norway;Engineering
Coop Orkla;info@orkla.com;Oslo;Norway;Manufacturing
Coop Vestfold og Telemark;info@coopvestfoldogtelemark.com;Tønsberg;Norway;Manufacturing
Pemco;info@pemco.com;Oslo;Norway;Manufacturing
Skanem;info@skanem.com;Oslo;Norway;Manufacturing
Ocean Rig;info@oceanrig.com;Oslo;Norway;Industrial
Hig Invest;info@higinvest.com;Oslo;Norway;Industrial
Norsea Group;info@norseagroup.com;Stavanger;Norway;Industrial
Norskott Havbruk;info@norskotthavbruk.com;Bergen;Norway;Manufacturing
Eikmaskin;info@eikmaskin.com;Oslo;Norway;Manufacturing
Neumann Bygg;info@neumannbygg.com;Oslo;Norway;Engineering
Norsea Gas;info@norseagas.com;Stavanger;Norway;Industrial
Wurth Norge;info@wurthnorge.com;Oslo;Norway;Manufacturing
Coop Innlandet;info@coopinnlandet.com;Lillehammer;Norway;Manufacturing
Høiland Holding;info@høilandholding.com;Oslo;Norway;Industrial
AGA;;Oslo;Norway;Industrial
Ugland Rederi;info@uglandrederi.com;Kristiansand;Norway;Industrial
Sulland Holding;info@sullandholding.com;Oslo;Norway;Manufacturing
Technor Holding;info@technorholding.com;Oslo;Norway;Engineering
Coop Sambo;info@coopsambo.com;Oslo;Norway;Manufacturing
Maxit;info@maxit.com;Oslo;Norway;Manufacturing
Felleskjøpet Maskin;info@felleskjopet.no;Oslo;Norway;Manufacturing
Treschow-Fritzøe;info@treschowfritzøe.com;Larvik;Norway;Manufacturing
Ruukki Profiler;info@ruukkiprofiler.com;Oslo;Norway;Manufacturing
Falconbridge Nikkelverk;info@falconbridgenikkelverk.com;Kristiansand;Norway;Manufacturing
Strømberg Gruppen;info@strømberggruppen.com;Oslo;Norway;Engineering
Sigurd Hesselberg;info@sigurdhesselberg.com;Oslo;Norway;Manufacturing
Volvo Aero Norge;info@volvoaeronorge.com;Oslo;Norway;Manufacturing
Frelsesarmeen;info@frelsesarmeen.com;Oslo;Norway;Industrial
Brødrene Risa;info@brødrenerisa.com;Oslo;Norway;Manufacturing
Rasmussengruppen;info@rasmussengruppen.com;Oslo;Norway;Industrial
Nydalen Bolig;info@nydalenbolig.com;Oslo;Norway;Industrial
Bunker Oil;info@bunkeroil.com;Oslo;Norway;Industrial
Assuranceforeningen Skuld;info@assuranceforeningenskuld.com;Oslo;Norway;Industrial
Jøtul Holding;info@jøtulholding.com;Oslo;Norway;Manufacturing
MAN Last og Buss;info@manlastogbuss.com;Oslo;Norway;Manufacturing
Utkilen;info@utkilen.com;Oslo;Norway;Industrial
Knut Axel Ugland Holding;info@knutaxeluglandholding.com;Kristiansand;Norway;Industrial
Nordlaks Holding;info@nordlaksholding.com;Stokmarknes;Norway;Manufacturing
Fjordlaks;info@fjordlaks.com;Florø;Norway;Manufacturing
Istad;info@istad.com;Oslo;Norway;Manufacturing
Gunnar Nordbø;info@gunnarnordbø.com;Bergen;Norway;Industrial
Bourbon Offshore Norway;info@bourbonoffshorenorway.com;Bergen;Norway;Industrial
Brødrene Nordbø;info@brødrenenordbø.com;Bergen;Norway;Industrial
Odim;;Ulsteinvik;Norway;Manufacturing
Anthon B Nilsen;info@anthonbnilsen.com;Oslo;Norway;Manufacturing
Tandberg Data;info@tandberg.com;Oslo;Norway;Engineering
Unicon;info@unicon.com;Oslo;Norway;Engineering
Scandinavian Fittings and Flanges;info@scandinavianfittingsandfl.com;Oslo;Norway;Manufacturing
Fortum Markets;info@fortummarkets.com;Oslo;Norway;Industrial
Egil Stenshagen Holding;info@egilstenshagenholding.com;Oslo;Norway;Industrial
Norges Handels og Sjøfartstidende;info@norgeshandelsogsjøfartsti.com;Oslo;Norway;Engineering
Oceaneering;info@oceaneering.com;Stavanger;Norway;Industrial
Hospitality Invest;info@hospitalityinvest.com;Oslo;Norway;Industrial
Folke Hermansen;info@folkehermansen.com;Stavanger;Norway;Industrial
Kid Interiør;info@kidinteriør.com;Oslo;Norway;Manufacturing
Viking Supply Ships;info@vikingsupplyships.com;Bergen;Norway;Industrial
Boligbygg Oslo;info@boligbyggoslo.com;Oslo;Norway;Industrial
West Contractors;info@westcontractors.com;Oslo;Norway;Engineering
Bjørge;info@bjørge.com;Oslo;Norway;Manufacturing
Welcon;info@welcon.com;Oslo;Norway;Manufacturing
Blom;;Oslo;Norway;Engineering
NLI Holding;info@nliholding.com;Oslo;Norway;Industrial
Santander Consumer Bank;info@santanderconsumerbank.com;Oslo;Norway;Industrial
Periscopus;info@periscopus.com;Oslo;Norway;Engineering
Norwegian Hull Club;info@norwegianhullclub.com;Oslo;Norway;Industrial
Europark;info@europark.com;Oslo;Norway;Industrial
Fjordland;info@fjordland.com;Oslo;Norway;Manufacturing
Trico Supply;info@tricosupply.com;Oslo;Norway;Manufacturing
Petrojack;info@petrojack.com;Oslo;Norway;Industrial
Leonhard Nilsen & Sønner;info@leonhardnilsenandsønner.com;Narvik;Norway;Engineering
BA Holding;info@baholding.com;Oslo;Norway;Industrial
Norsildmel Innovation;info@norsildmelinnovation.com;Oslo;Norway;Manufacturing
Salmar;info@salmar.com;Frøya;Norway;Manufacturing
Norway Royal Salmon;info@norwayroyalsalmon.com;Tromsø;Norway;Manufacturing
Electrolux Home Products Norway;info@electroluxhomeproductsnor.com;Oslo;Norway;Manufacturing
